Timestamp;¿Qué soluciones orientadas al soporte de decisiones tiene implementadas la empresa / organismo?;Cantidad de personal en el área técnica;Cantidad de personal con conocimientos de Inteligencia de Negocios;¿Poseen de datos históricos en su empresa / organismo? [Seleccione una opción];¿Cuál o cuáles herramientas para la generación de informes en base a datos históricos utilizan?;¿Le interesaría conocer métodos y herramientas que permitan obtener información histórica?;¿Le interesaría participar en cursos de explotación inteligente de información para la toma de decisiones?;¿En qué modalidad le interesaría un curso o capacitación?
11/5/2012 11:27:35;Informes estadísticos;2;1;(> 5 años);Ya  conteste mas arriba;SI;SI;A DISTANCIA
;;;;;;;;
2/18/2013 10:12:11;Ninguna;2;1;(1 a 2 años);Ninguna;SI;SI;A DISTANCIA
2/18/2013 10:40:55;Las decisiones las toman en base a los datos arrojados por un sistema de costo creado para ese fin.;3 en la zona;1;(> 5 años);Sispec para la Gestión diaria de los datos y CyPres (Costos y presupuesto )para la toma de decisiones.;SI;SI;A DISTANCIA
2/18/2013 11:05:54;-;1;no;(> 5 años);Excel;SI;SI;A DISTANCIA
2/18/2013 11:30:04;ninguna;3;0;( < 1 año );no possee;SI;SI;SEMI PRESENCIAL
2/19/2013 12:09:29;Tablero de Gestión;10;0;(3 a 4 años);Excel;SI;SI;PRESENCIAL
2/19/2013 16:39:09;NO SE;2;1;(> 5 años);BEJERMAN;NO;SI;A DISTANCIA
2/19/2013 18:40:50;NINGUNA;2;2;( < 1 año );NINGUNA;SI;SI;A DISTANCIA
2/19/2013 18:58:17;Sistema de Gestión Tango, Tablero de Control e informes gerenciales;5;2;(1 a 2 años);Tango y Excel;SI;SI;PRESENCIAL
2/19/2013 19:09:09;Ninguna;1;0;(> 5 años);base de datos;SI;SI;SEMI PRESENCIAL, A DISTANCIA
2/19/2013 19:27:59;Ninguno;2;1;(> 5 años);Ninguno;SI;NO;A DISTANCIA
2/19/2013 19:37:00;Reportes;14;10;(> 5 años);Historicos en BD;SI;SI;A DISTANCIA
2/19/2013 21:05:12;ninguna;2;0;(3 a 4 años);excel;SI;SI;SEMI PRESENCIAL
2/20/2013 19:15:39;ninguna;0;0;( < 1 año );excel;SI;SI;A DISTANCIA
2/22/2013 8:40:57;Ninguna;3;1;(> 5 años);Ninguna;SI;SI;A DISTANCIA
2/22/2013 8:44:40;Informes gerenciales;10;3;(> 5 años);siu toba, JasperReports;SI;SI;PRESENCIAL
2/22/2013 12:47:35;Datawarehousing;2;1;(> 5 años);Pentaho;SI;SI;PRESENCIAL, SEMI PRESENCIAL, A DISTANCIA
2/28/2013 15:35:39;Queries a Postgresql;6;1;(3 a 4 años);Queries BD;SI;SI;PRESENCIAL, SEMI PRESENCIAL
